phase,L1,L2,L3
453.4529058116232818,5.3450056723257356297e+40,2.9120358696596791508e+39,5.468690209324729344e+40
455.45490981963928334,5.227371713465182025e+40,2.8457456761840719608e+39,5.3471802275393087824e+40
457.45691382765534172,5.1122884750631697095e+40,2.7810734514660113614e+39,5.228335590595418002e+40
459.45891783567134325,4.999703023769287197e+40,2.7179764056301153544e+39,5.1121001543796412984e+40
461.46092184368740163,4.889563417483100605e+40,2.6564129882051252797e+39,4.9984188497569963518e+40
463.46292585170346,4.7818186816849003564e+40,2.5963428425133717422e+39,4.887237656547176688e+40
465.46492985971946155,4.6764187948795861057e+40,2.5377267672670684534e+39,4.778503587047275828e+40
467.46693386773551993,4.573314687713311738e+40,2.4805266879053858313e+39,4.672164683870334144e+40
469.46893787575152146,4.47245821014400603e+40,2.4247056094549468096e+39,4.5681699844740591532e+40
471.47094188376757984,4.3738021368727454107e+40,2.3702275941956915026e+39,4.4664695256360302703e+40
473.47294589178358137,4.2773001441208579565e+40,2.3170577228266239527e+39,4.3670143180660485994e+40
475.47494989979963975,4.1829067954704811257e+40,2.2651620623734892019e+39,4.2697563305241199462e+40
477.4769539078156413,4.0905775395402061163e+40,2.2145076422421062912e+39,4.174648486266735879e+40
479.47895791583169967,4.0002686789743789373e+40,2.1650624140278355551e+39,4.0816446296645592615e+40
481.4809619238477012,3.911937374397769681e+40,2.1167952333143021018e+39,3.990699529256797084e+40
483.48296593186375958,3.8255416219029137772e+40,2.06967582650177335e+39,3.9017688532633552794e+40
485.4849699398797611,3.7410402394820494923e+40,2.0236747639407141308e+39,3.8148091544584233023e+40
487.4869739478958195,3.6583928636254871273e+40,1.9787634398627481794e+39,3.7297778656305702188e+40
489.48897795591187787,3.5775599202389799112e+40,1.9349140380241990963e+39,3.646633268355746662e+40
491.4909819639278794,3.4985026274346583465e+40,1.8920995168700403794e+39,3.5653344949648236992e+40
493.49298597194393778,3.4211829739330271215e+40,1.850293581113177416e+39,3.4858415051488400393e+40
495.49498997995993932,3.3455637062106907498e+40,1.8094706591973161858e+39,3.4081150717007830116e+40
497.4969939879759977,3.2716083243439334237e+40,1.7696058864371622497e+39,3.332116775320384963e+40
499.49899799599199923,3.1992810548849595216e+40,1.7306750755666696094e+39,3.2578089755612684016e+40
501.5010020040080576,3.128546852773889995e+40,1.6926547046502279413e+39,3.1851548119842177005e+40
503.50300601202405915,3.0593713807801695203e+40,1.6555218926597152349e+39,3.1141181819887660146e+40
505.50501002004011752,2.991720997466629242e+40,1.6192543805459788836e+39,3.0446637275128747628e+40
507.50701402805611906,2.92556275246839257e+40,1.5838305169845881588e+39,2.9767568293506833485e+40
509.50901803607217744,2.860864361480357133e+40,1.5492292331717383535e+39,2.9103635804456066407e+40
511.51102204408817897,2.7975942073379818827e+40,1.5154300328697164771e+39,2.8454507862549438744e+40
513.51302605210423735,2.7357213206909683483e+40,1.4824129714151488617e+39,2.7819859439874291173e+40
515.5150300601202389,2.6752153688063396155e+40,1.4501586397938122961e+39,2.7199372302893738568e+40
517.5170340681363541,2.616046650432261928e+40,1.4186481525080934776e+39,2.6592734952168868877e+40
519.51903807615235564,2.558186073003819492e+40,1.3878631260514563574e+39,2.599964237954228101e+40
