# JD m dm uJy duJy F err chi/N RA Dec x y maj min phi apfit mag5sig Sky Obs
2459901.34259 16.597 0.026 834 22 c 0 0.92 8.69039 -8.38667 8068.67 7012.87 2.62 2.2 -54.5 -0.393 19.3 21.09 03a59901o0196c
2459901.352613 16.668 0.026 781 20 c 0 1.36 8.69039 -8.38667 8043.91 7129.19 2.65 2.25 -57.8 -0.393 19.28 21.07 03a59901o0218c
2459902.878328 16.752 0.022 723 16 c 0 1.69 8.69039 -8.38667 7914.08 1243.78 2.92 2.8 72.6 -0.394 19.59 21.3 01a59902o0419c
2459902.90486 16.7 0.021 758 16 c 0 1.61 8.69039 -8.38667 7936.1 1288.57 2.88 2.8 87.7 -0.407 19.54 21.23 01a59902o0474c
2459902.918406 16.717 0.022 747 17 c 0 1.46 8.69039 -8.38667 7879.78 1214.77 3.27 3.07 52.1 -0.327 19.39 21.19 01a59902o0502c
2459905.315408 16.787 0.044 700 31 c 0 1.13 8.69039 -8.38667 6184.45 7094.41 2.65 2.32 -53.3 -0.386 18.65 20.51 03a59905o0131c
2459905.319461 16.873 0.033 647 21 c 0 1.45 8.69039 -8.38667 6200.86 7134.3 2.66 2.27 -55.0 -0.385 19.07 20.93 03a59905o0140c
2459905.326287 16.786 0.039 701 28 c 0 1.2 8.69039 -8.38667 6140.97 7056.05 2.73 2.38 -55.5 -0.379 19.33 21.26 03a59905o0155c
2459906.801625 16.865 0.023 652 15 c 0 1.48 8.69039 -8.38667 6061.94 3285.99 3.04 2.92 29.4 -0.324 19.67 21.55 01a59906o0258c
2459906.8044 16.9 0.023 631 15 c 0 1.45 8.69039 -8.38667 6081.76 3324.55 3.18 3.07 27.0 -0.327 19.56 21.53 01a59906o0264c
2459906.814222 16.901 0.021 630 14 c 0 1.96 8.69039 -8.38667 6025.48 3247.63 3.09 2.94 38.5 -0.322 19.64 21.53 01a59906o0285c
2459906.824517 16.8 0.022 692 15 c 0 1.29 8.69039 -8.38667 6007.28 3365.32 3.11 2.92 44.3 -0.321 19.65 21.53 01a59906o0307c
2459927.565327 16.989 0.025 581 15 c 0 2.27 8.69039 -8.38667 1911.96 4839.41 2.57 2.23 61.5 -0.385 19.49 21.55 04a59927o0106c
2459927.56893 17.031 0.028 559 16 c 0 1.53 8.69039 -8.38667 1931.63 4875.94 2.6 2.34 74.5 -0.386 19.47 21.55 04a59927o0114c
2459927.57404 17.037 0.029 556 16 c 0 1.66 8.69039 -8.38667 1874.24 4796.33 2.64 2.36 67.1 -0.378 19.44 21.53 04a59927o0125c
2459927.586043 16.977 0.139 588 82 c 0 0.3 8.69039 -8.38667 1855.51 4908.38 2.64 2.31 62.7 -0.386 19.46 21.51 04a59927o0151c
2459928.770115 17.016 0.026 567 15 c 0 2.24 8.69039 -8.38667 4371.32 5436.49 2.44 2.33 42.1 -0.422 19.52 21.2 02a59928o0185c
2459928.77419 16.991 0.029 580 17 c 0 1.56 8.69039 -8.38667 4352.33 5397.81 2.43 2.31 42.6 -0.426 19.52 21.2 02a59928o0194c
2459928.787455 17.047 0.029 551 16 c 0 1.78 8.69039 -8.38667 4408.89 5473.0 2.42 2.3 57.0 -0.419 19.55 21.18 02a59928o0223c
2459928.794724 17.058 0.028 546 15 c 0 2.02 8.69039 -8.38667 4429.26 5357.35 2.42 2.29 56.7 -0.416 19.55 21.15 02a59928o0239c
2459931.537635 17.112 0.039 519 20 c 0 1.37 8.69039 -8.38667 1812.08 2916.18 3.04 2.54 54.3 -0.374 19.01 20.55 04a59931o0041c
2459931.540795 17.108 0.038 521 20 c 0 1.42 8.69039 -8.38667 1832.9 2952.69 3.08 2.53 53.0 -0.371 19.15 20.95 04a59931o0048c
2459931.546202 17.072 0.037 538 20 c 0 1.4 8.69039 -8.38667 1775.9 2870.28 3.36 2.65 43.3 -0.366 19.24 21.36 04a59931o0060c
2459931.561104 17.016 0.027 567 16 c 0 2.55 8.69039 -8.38667 1758.57 2975.8 3.04 2.5 48.4 -0.372 19.37 21.51 04a59931o0093c
2459964.306228 17.009 0.062 571 36 c 0 1.19 8.69039 -8.38667 5048.96 5889.13 2.62 2.42 -29.7 -0.364 18.46 20.78 03a59964o0078c
