# JD m dm uJy duJy F err chi/N RA Dec x y maj min phi apfit mag5sig Sky Obs
2459813.548213 15.383 0.009 2551 24 o 0 10.37 8.69039 -8.38667 8187.86 8970.2 2.53 2.05 -45.2 -0.416 19.57 20.87 03a59813o0637o
2459813.55137 15.37 0.009 2582 24 o 0 9.99 8.69039 -8.38667 8204.31 9010.07 2.54 2.05 -44.0 -0.415 19.55 20.84 03a59813o0644o
2459813.584325 15.364 0.009 2596 24 o 0 4.77 8.69039 -8.38667 8135.85 8936.04 2.47 2.08 -42.8 -0.416 19.54 20.87 03a59813o0715o
2459813.589788 15.397 0.011 2519 27 o 0 7.13 8.69039 -8.38667 8109.88 9053.33 3.26 2.53 -44.7 -0.402 19.32 20.87 03a59813o0727o
2459815.011432 15.483 0.012 2326 27 o 0 1.55 8.69039 -8.38667 8965.22 9542.75 3.9 3.39 39.7 -0.361 19.09 20.68 01a59814o0629o
2459815.013252 15.479 0.012 2336 28 o 0 1.48 8.69039 -8.38667 8943.52 9503.06 3.56 3.12 36.4 -0.386 19.16 20.67 01a59814o0633o
2459815.018783 15.506 0.012 2278 28 o 0 1.24 8.69039 -8.38667 9003.83 9577.9 3.8 3.33 37.8 -0.369 19.08 20.66 01a59814o0645o
2459815.054477 15.478 0.011 2337 26 o 0 1.93 8.69039 -8.38667 9024.02 9451.75 3.55 3.04 37.3 -0.388 19.18 20.69 01a59814o0720o
2459818.994723 15.593 0.011 2102 24 o 0 1.54 8.69039 -8.38667 4358.77 5443.99 2.94 2.75 27.7 -0.432 19.34 20.82 01a59818o0553o
2459818.998877 15.595 0.011 2100 22 o 0 2.3 8.69039 -8.38667 4339.62 5405.35 2.9 2.77 24.9 -0.436 19.34 20.83 01a59818o0562o
2459819.001614 15.599 0.012 2092 26 o 0 1.25 8.69039 -8.38667 4398.49 5480.41 3.0 2.79 32.7 -0.422 19.31 20.81 01a59818o0568o
2459819.023587 15.601 0.011 2088 22 o 0 2.19 8.69039 -8.38667 6115.3 5198.55 3.01 2.77 33.9 -0.421 19.3 20.77 01a59818o0615o
2459823.0329 15.561 0.011 2166 25 o 0 1.24 8.69039 -8.38667 6171.76 5120.59 3.25 2.95 40.4 -0.404 19.26 20.81 01a59822o0678o
2459823.037036 15.574 0.011 2141 24 o 0 1.86 8.69039 -8.38667 6193.8 5159.31 3.12 2.81 39.4 -0.417 19.31 20.8 01a59822o0687o
2459823.064383 15.557 0.012 2173 27 o 0 1.1 8.69039 -8.38667 6137.34 5086.49 3.32 3.01 43.9 -0.4 19.18 20.7 01a59822o0746o
2459823.092748 15.538 0.012 2212 26 o 0 1.6 8.69039 -8.38667 6125.57 5207.58 3.35 3.06 46.5 -0.398 19.13 20.6 01a59822o0807o
2459825.480941 15.575 0.01 2139 22 o 0 1.93 8.69039 -8.38667 2442.14 7337.01 2.65 2.42 -53.5 -0.394 19.56 21.2 03a59825o0097o
2459825.482781 15.602 0.01 2085 22 o 0 2.06 8.69039 -8.38667 2422.97 7298.07 2.6 2.41 -54.5 -0.395 19.57 21.18 03a59825o0101o
2459825.485935 15.611 0.01 2069 21 o 0 2.98 8.69039 -8.38667 2478.75 7377.18 2.45 2.29 -49.8 -0.398 19.64 21.2 03a59825o0108o
2459825.504106 15.608 0.011 2074 22 o 0 2.71 8.69039 -8.38667 2496.86 7267.44 2.47 2.26 -45.5 -0.4 19.59 21.1 03a59825o0148o
2459826.958276 15.65 0.011 1995 22 o 0 2.39 8.69039 -8.38667 4655.24 9323.03 2.99 2.85 27.9 -0.427 19.3 20.82 01a59826o0531o
2459826.960099 15.68 0.011 1942 22 o 0 1.9 8.69039 -8.38667 4635.43 9284.11 2.99 2.82 38.3 -0.427 19.29 20.81 01a59826o0535o
2459826.983232 15.639 0.013 2015 26 o 0 1.23 8.69039 -8.38667 4697.88 9353.76 2.98 2.79 36.6 -0.439 19.31 20.76 01a59826o0584o
2459826.987332 15.651 0.012 1993 24 o 0 2.0 8.69039 -8.38667 4716.12 9235.2 2.94 2.71 37.1 -0.438 19.31 20.74 01a59826o0593o
2459829.446141 15.727 0.012 1859 21 o 0 3.78 8.69039 -8.38667 2447.17 7337.18 2.2 2.0 -63.0 -0.402 19.13 19.76 03a59829o0505o
2459829.451643 15.716 0.013 1877 24 o 0 1.83 8.69039 -8.38667 2425.68 7299.14 2.29 2.04 -58.2 -0.394 19.1 19.74 03a59829o0517o
2459829.455712 15.722 0.013 1867 24 o 0 2.55 8.69039 -8.38667 2481.19 7378.51 2.26 2.05 -58.0 -0.397 19.12 19.78 03a59829o0526o
2459829.461147 15.698 0.013 1909 25 o 0 2.92 8.69039 -8.38667 2501.47 7263.8 2.24 2.05 -54.1 -0.4 19.13 19.8 03a59829o0538o
2459829.624062 15.793 0.021 1748 37 o 0 1.23 8.69039 -8.38667 699.52 9526.24 3.59 2.94 84.7 -0.279 18.52 19.46 04a59829o0328o
2459830.890432 15.821 0.02 1704 34 o 0 1.23 8.69039 -8.38667 4646.44 9333.6 3.21 2.92 44.8 -0.416 18.47 19.11 01a59830o0348o
2459830.893624 15.767 0.02 1792 36 o 0 1.13 8.69039 -8.38667 4628.17 9293.3 3.22 3.01 41.5 -0.423 18.47 19.13 01a59830o0355o
2459830.916751 15.834 0.021 1684 36 o 0 1.1 8.69039 -8.38667 4692.5 9367.01 3.96 3.34 5.0 -0.367 18.33 19.22 01a59830o0404o
2459830.920858 15.594 0.107 2102 225 o 0 0.33 8.69039 -8.38667 4713.09 9249.3 3.16 2.99 31.3 -0.422 18.52 19.25 01a59830o0413o
2459831.510202 15.769 0.019 1788 34 o 0 2.05 8.69039 -8.38667 8004.32 3159.91 2.07 1.94 -45.4 -0.487 18.53 18.56 03a59831o0624o
2459831.5159 15.809 0.021 1724 36 o 0 2.0 8.69039 -8.38667 8021.12 3201.37 2.12 2.06 -21.2 -0.491 18.48 18.59 03a59831o0632o
2459831.549676 15.772 0.019 1784 34 o 0 1.7 8.69039 -8.38667 7950.06 3124.6 2.24 2.0 -52.2 -0.45 18.44 18.56 03a59831o0701o
2459831.552706 15.789 0.021 1755 38 o 0 1.07 8.69039 -8.38667 7924.58 3240.04 2.37 2.11 -50.1 -0.443 18.37 18.55 03a59831o0707o
2459837.067524 15.753 0.016 1815 29 o 0 2.61 8.69039 -8.38667 2327.27 3579.32 2.44 1.93 34.8 -0.443 18.89 19.39 02a59836o0556o
2459837.070967 15.75 0.016 1819 28 o 0 2.26 8.69039 -8.38667 2308.54 3540.54 2.4 1.94 35.2 -0.442 18.89 19.38 02a59836o0563o
2459837.076422 15.766 0.015 1794 27 o 0 2.37 8.69039 -8.38667 2367.36 3618.66 2.5 1.99 33.8 -0.433 18.86 19.36 02a59836o0574o
