"obj_id","ra","dec","filter","mjd","snr","instrument_id","instrument_name","ra_unc","dec_unc","origin","id","altdata","annotations","mag","magerr","magsys","limiting_mag","Delete"
"ZTF22aapubuy","8.6903917","-8.3867091","ztfg","59841.35915509984","26.987818975635303","1","ZTF","","","None","347208947","","","16.11086322885834","0.04023060202598571","ab","17.941357689031687",""
"ZTF22aapubuy","8.6903975","-8.3867035","ztfg","59841.38831020007","35.98781085024529","1","ZTF","","","None","347232930","","","16.13332581722235","0.030169554054737095","ab","18.27628937935143",""
"ZTF22aapubuy","8.6903975","-8.3867035","ztfg","59841.38831020007","35.98727983357297","1","ZTF","","","None","347802261","","","16.133300832372214","0.030169999226927754","ab","18.276248373846897",""
"ZTF22aapubuy","","","ztfg","59841.38831020007","","1","ZTF","","","None","351036434","","","","","ab","20.254100799560547",""
"ZTF22aapubuy","","","ztfi","59842.3150578998","","1","ZTF","","","None","347802262","","","","","ab","19.65920066833496",""
"ZTF22aapubuy","8.6903907","-8.386678","ztfi","59842.334942100104","37.24129948517806","1","ZTF","","","None","347802263","","","15.567847650242793","0.029154090210795396","ab","17.74798470614511",""
"ZTF22aapubuy","8.6903907","-8.386678","ztfi","59842.334942100104","37.24141369357307","1","ZTF","","","None","354818288","","","15.567799984664765","0.029154000803828236","ab","17.74794037020383",""
"ZTF22aapubuy","8.6903812","-8.3867072","ztfr","59843.29628469981","30.557435086567093","1","ZTF","","","None","348297626","","","16.063499597910678","0.03553099930286407","ab","18.028866831716925",""
"ZTF22aapubuy","8.6903812","-8.3867072","ztfr","59843.29628469981","30.55723004275996","1","ZTF","","","None","348279866","","","16.063491820721786","0.035531237721443176","ab","18.028851769092228",""
"ZTF22aapubuy","","","ztfr","59843.29722219985","","1","ZTF","","","None","348297627","","","","","ab","20.409700393676758",""
"ZTF22aapubuy","","","sdssr","59843.31088919984","10.671990841194544","2","SEDM","","","SEDM_FPIPE_SDSS","349116124","","","16.05153651999634","0.1017369880572911","ab","16.874725118798594",""
"ZTF22aapubuy","","","sdssr","59843.31088919984","10.628137299154071","2","SEDM","","","SEDM_FPIPE_SDSS","417394971","","","16.048528147679647","0.10215677255548314","ab","16.867246027314252",""
"ZTF22aapubuy","","","sdssi","59843.31419279985","12.271302024971778","2","SEDM","","","SEDM_FPIPE_SDSS","349110306","","","16.40480486558521","0.08847766948842792","ab","17.37960646780978",""
"ZTF22aapubuy","8.6904033","-8.386724","ztfg","59843.316192099825","22.42005885907498","1","ZTF","","","None","348313804","","","16.152200835591934","0.04842700064182281","ab","17.781367695771475",""
"ZTF22aapubuy","8.6904033","-8.386724","ztfg","59843.316192099825","22.420064033125364","1","ZTF","","","None","348297628","","","16.152191341458717","0.04842698946595191","ab","17.78135845220197",""
"ZTF22aapubuy","8.6903928","-8.3866961","ztfg","59843.336168999784","40.691709019114114","1","ZTF","","","None","349679085","","","16.164600400761863","0.026682000607252118","ab","18.44094021556168",""
"ZTF22aapubuy","8.6903928","-8.3866961","ztfg","59843.336168999784","40.691123853711076","1","ZTF","","","None","348313805","","","16.164589090357293","0.02668238431215286","ab","18.440913291661204",""
"ZTF22aapubuy","","","ztfg","59843.336168999784","","1","ZTF","","","None","351036435","","","","","ab","20.527299880981445",""
"ZTF22aapubuy","","","ztfr","59845.29489579983","","1","ZTF","","","None","349679086","","","","","ab","20.322900772094727",""
"ZTF22aapubuy","","","ztfi","59845.33829860017","","1","ZTF","","","None","354818289","","","","","ab","19.625900268554688",""
"ZTF22aapubuy","","","ztfi","59846.31415509991","","1","ZTF","","","None","354818290","","","","","ab","19.61009979248047",""
"ZTF22aapubuy","8.6904019","-8.3866858","ztfg","59846.37124999985","37.337467662164485","1","ZTF","","","None","349696681","","","16.105801004220403","0.029078999534249302","ab","18.28873814205932",""
"ZTF22aapubuy","8.6904019","-8.3866858","ztfg","59846.37124999985","37.338056014491166","1","ZTF","","","None","349679087","","","16.105799184825727","0.02907854132354259","ab","18.28875343122688",""
"ZTF22aapubuy","","","ztfg","59846.37124999985","","1","ZTF","","","None","351036436","","","","","ab","20.464599609375",""
"ZTF22aapubuy","8.6903849","-8.386692","ztfr","59846.39956020005","40.39176510224094","1","ZTF","","","None","349696682","","","15.97492051534617","0.026880137622356415","ab","18.243227584658968",""
"ZTF22aapubuy","8.6903849","-8.386692","ztfr","59846.39956020005","40.391972223852505","1","ZTF","","","None","350511021","","","15.974900266188046","0.026879999786615368","ab","18.24321290294399",""
