###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59802.507559  15.275  0.049  2818  139 o  0   1.10   8.69039  -8.38667  8562.63  3731.41 3.32 3.20   0.8 -0.413 16.70 16.88 01a59802o0607o
59802.530821  15.283  0.044  2797  122 o  0   1.06   8.69039  -8.38667  8543.99  3685.37 3.46 3.23 -16.9 -0.423 16.96 17.22 01a59802o0656o
59802.532641  15.283  0.042  2797  117 o  0   1.17   8.69039  -8.38667  8603.62  3759.99 3.53 3.39 -21.7 -0.399 16.93 17.22 01a59802o0660o
59802.539857  15.309  0.061  2731  167 o  0   0.75   8.69039  -8.38667  8624.32  3642.90 3.40 3.22  -8.0 -0.416 16.77 17.04 01a59802o0675o
59803.215305  15.227  0.043  2945  127 o  0   1.61   8.69039  -8.38667  6190.48  3377.41 2.28 2.07 -18.8 -0.399 16.68 16.42 04a59803o0572o
59808.561479  15.273  0.009  2823   25 o  0   6.68   8.69039  -8.38667  2629.20  9389.49 1.98 1.91  21.8 -0.465 19.24 19.95 02a59808o0646o
59808.566724  15.270  0.010  2831   27 o  0   3.49   8.69039  -8.38667  2613.22  9357.86 1.93 1.92 -88.0 -0.465 19.25 19.94 02a59808o0657o
59808.602066  15.289  0.010  2783   28 o  0   3.53   8.69039  -8.38667  2666.69  9435.00 1.99 1.91 -66.7 -0.465 19.18 19.85 02a59808o0732o
59808.626498  15.292  0.009  2774   26 o  0   5.99   8.69039  -8.38667  2689.10  9319.75 1.98 1.95 -39.8 -0.458 19.01 19.48 02a59808o0785o
59810.474689  15.326  0.010  2689   26 o  0   2.18   8.69039  -8.38667  8957.97  9558.08 3.35 2.94  42.3 -0.408 19.18 20.55 01a59810o0544o
59810.481066  15.351  0.011  2628   29 o  0   1.65   8.69039  -8.38667  8937.54  9518.08 3.52 3.09  39.1 -0.388 19.12 20.56 01a59810o0558o
59810.486688  15.337  0.011  2661   29 o  0   1.66   8.69039  -8.38667  8999.35  9593.87 3.38 2.98  35.9 -0.404 19.18 20.58 01a59810o0570o
59810.491721  15.350  0.010  2630   26 o  0   2.31   8.69039  -8.38667  9018.78  9474.28 3.54 3.04  37.6 -0.388 19.15 20.56 01a59810o0581o
59812.542378  15.366  0.011  2591   28 o  0   1.72   8.69039  -8.38667  4479.60  7346.18 3.31 3.05  29.6 -0.396 19.06 20.71 02a59812o0679o
